name,artists,release_year,popularity,cluster,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster_name
Live to Tell,['Madonna'],1990,46,0,0.627,0.363,-12.368,0.026,0.104,3.52e-06,0.127,0.259,110.07,Acoustic & Mellow
Borderline,['Madonna'],1983,45,3,0.787,0.895,-4.864,0.0368,0.252,0.00064,0.0729,0.452,119.356,Bold & Energetic
Dear Jessie,['Madonna'],1989,45,0,0.702,0.26,-16.885,0.0449,0.755,0.0,0.304,0.897,126.838,Acoustic & Mellow
Borderline - Remix,['Madonna'],1990,45,1,0.776,0.772,-10.352,0.039,0.333,0.000703,0.0829,0.498,119.465,Uplifting & Danceable
Justify My Love,['Madonna'],1990,45,2,0.698,0.662,-12.58,0.111,0.00213,0.703,0.047,0.503,99.661,Instrumental & Produced
Like a Prayer,['Madonna'],1990,45,3,0.705,0.693,-10.122,0.0455,0.018,1.21e-06,0.441,0.444,111.872,Bold & Energetic
Love Profusion,['Madonna'],2003,45,3,0.702,0.467,-8.026,0.0403,0.239,3.69e-05,0.188,0.705,119.956,Bold & Energetic
La Isla Bonita - Remix,"['Madonna', 'Chris Lord-Alge']",1990,44,1,0.648,0.66,-10.841,0.0348,0.101,0.0,0.0717,0.89,100.021,Uplifting & Danceable
Pray for Spanish Eyes,['Madonna'],1989,44,0,0.703,0.319,-12.911,0.0272,0.36,0.0,0.0958,0.483,108.519,Acoustic & Mellow
Swim,['Madonna'],1998,43,0,0.618,0.476,-12.823,0.0345,0.584,0.0243,0.168,0.2,100.488,Acoustic & Mellow
Sky Fits Heaven,['Madonna'],1998,43,2,0.526,0.568,-10.504,0.038,0.0727,0.711,0.106,0.215,139.952,Instrumental & Produced
Skin,['Madonna'],1998,43,2,0.572,0.806,-12.316,0.0643,0.339,0.832,0.0681,0.388,142.957,Instrumental & Produced
To Have and Not to Hold,['Madonna'],1998,43,0,0.554,0.543,-12.417,0.0355,0.721,0.317,0.0659,0.654,88.038,Acoustic & Mellow
Papa Don't Preach,['Madonna'],1990,43,1,0.811,0.816,-8.423,0.0344,0.459,0.0,0.0543,0.944,121.915,Uplifting & Danceable
Oh Father,['Madonna'],1989,43,0,0.576,0.268,-14.313,0.0294,0.547,5.17e-05,0.118,0.175,115.952,Acoustic & Mellow
Lucky Star,['Madonna'],1983,43,3,0.803,0.814,-4.579,0.0381,0.198,1.18e-05,0.223,0.933,117.08,Bold & Energetic
Express Yourself,['Madonna'],1990,43,3,0.697,0.765,-9.158,0.0505,0.00306,0.000105,0.125,0.626,115.496,Bold & Energetic
Burning Up,['Madonna'],1983,43,3,0.869,0.738,-4.566,0.11,0.0276,0.00102,0.262,0.988,138.329,Bold & Energetic
Erotica,['Madonna'],1992,43,2,0.639,0.676,-11.168,0.061,0.000576,0.434,0.26,0.231,101.956,Instrumental & Produced
Where's the Party,['Madonna'],1986,42,3,0.752,0.829,-8.658,0.0494,0.33,0.0,0.625,0.906,118.955,Bold & Energetic
Open Your Heart,['Madonna'],1990,42,1,0.671,0.752,-10.03,0.0418,0.0158,0.0,0.103,0.847,113.065,Uplifting & Danceable
Shanti / Ashtangi,['Madonna'],1998,42,2,0.641,0.771,-9.501,0.0403,0.0588,0.075,0.117,0.419,139.845,Instrumental & Produced
Bedtime Story,['Madonna'],1994,42,2,0.712,0.612,-12.74,0.0441,0.831,0.441,0.118,0.526,112.028,Instrumental & Produced
Cherish,['Madonna'],1990,41,1,0.678,0.783,-8.288,0.0478,0.328,0.000133,0.047,0.802,132.017,Uplifting & Danceable
Over and Over,['Madonna'],1984,41,1,0.669,0.785,-10.883,0.0351,0.415,0.00288,0.0537,0.971,150.247,Uplifting & Danceable
Hanky Panky,['Madonna'],1990,41,1,0.637,0.626,-10.728,0.329,0.419,0.0,0.0543,0.485,169.969,Uplifting & Danceable
Lucky Star - US ReMix Version,['Madonna'],1990,41,1,0.786,0.528,-11.679,0.0508,0.0818,0.000109,0.261,0.92,117.381,Uplifting & Danceable
You Must Love Me,['Madonna'],1996,40,0,0.357,0.161,-14.789,0.0436,0.926,3.47e-05,0.146,0.267,88.746,Acoustic & Mellow
Love Don't Live Here Anymore,['Madonna'],1984,40,0,0.483,0.366,-14.394,0.0452,0.327,3.78e-05,0.325,0.356,140.358,Acoustic & Mellow
True Blue - The Color Mix,['Madonna'],1986,40,2,0.807,0.525,-13.366,0.086,0.0384,0.0625,0.0581,0.616,119.91,Instrumental & Produced
Like a Virgin - Extended Dance Remix,['Madonna'],1984,40,1,0.839,0.458,-13.606,0.0555,0.0223,0.00357,0.13,0.972,119.447,Uplifting & Danceable
Into the Groove,"['Madonna', 'Shep Pettibone']",1987,40,1,0.799,0.638,-12.271,0.0564,0.0329,0.0227,0.0323,0.823,116.556,Uplifting & Danceable
Everybody - Original Version,['Madonna'],1983,39,3,0.921,0.782,-4.998,0.039,0.0205,0.000894,0.0437,0.616,119.982,Bold & Energetic
Material Girl - Extended Dance Remix,['Madonna'],1984,39,1,0.735,0.74,-12.647,0.0519,0.208,0.000138,0.0763,0.964,136.42,Uplifting & Danceable
"Vogue - 12"" Version",['Madonna'],1990,39,2,0.684,0.615,-15.083,0.0489,0.00429,0.114,0.202,0.502,116.213,Instrumental & Produced
Rescue Me,['Madonna'],1990,39,3,0.725,0.652,-10.017,0.05,0.0201,6.76e-05,0.108,0.355,117.946,Bold & Energetic
White Heat,['Madonna'],1986,39,1,0.67,0.696,-15.278,0.0586,0.479,0.0259,0.107,0.903,108.517,Uplifting & Danceable
Bad Girl,['Madonna'],1992,39,1,0.645,0.484,-11.233,0.0396,0.0211,3.88e-06,0.0495,0.52,146.897,Uplifting & Danceable
Fever,['Madonna'],1992,39,1,0.778,0.727,-10.296,0.0524,0.0663,0.0196,0.0923,0.549,115.94,Uplifting & Danceable
